=== Sheet: 武将  rows=309 cols=33 ===

R  1: 武将一覧 |  |  |  | 主陣 |  |  | 角陣 |  |  | 武将有無(突破〇/装備◎) |  |  |  |  |  |  |  | 馬・武将スキル |  |  |  | 備考 |  |  |  |  |  |  |  |  |  | 
R  2: 兵種 | 武将 | 配置 | 上限 | 紫苑 | 青葉 |  | 紫苑 | 青葉 |  | 青葉 | 中哲 | ゴッド | あらなみ | ナギ | 斗茂 | ショウ | ー | 青葉 | 中哲 | ゴッド | ー |  |  |  |  |  |  |  |  |  |  | 
R 15:  | 玄許褚 | 武力 | 1 | ー |  |  | ○ |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | ダメ15%減（累加不可） |  |  |  |  |  |  |  |  |  | 
R 16:  | 賈逵 | 知性 | 1.58 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 実ダメ歩比率×50%減（上限30%） |  |  |  |  |  |  |  |  |  | 
R 17:  | 玄荀攸 | 知性 | 1 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | ダメ18%減、元兵敵より大+5%減（累加不可）、【装備】抵抗5%増（上限10%） |  |  |  |  |  |  |  |  |  | 
R 18:  | 麹義 | 統率 | 2 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 敵抑制大時・被抑制12%増（味方抑制大時・抑制12%増）（累加不可）、武府連撃大/抵抗大/連抗同・連撃20%/抵抗20%/連撃10%抵抗10%増（上限25%）、【装備】防御6%増（上限12%） |  |  |  |  |  |  |  |  |  | 
R 19:  | 全琮 | 武力 | 1 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | ダメージ増（味方残存兵士率x16.5%）、ダメージ減（敵方残存兵士率x16.5%）【装備】敵軍紀5%減（累加不可） |  |  |  |  |  |  |  |  |  | 
R 20:  | 玄周泰 | 武力 | 1 | ○ |  |  |  |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | ダメージ増（味方残シールド率x27.5%）【装備】貫通抵抗5%増（累加不可） |  |  |  |  |  |  |  |  |  | 
R 21:  | 姜維 | 統率 | 1 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 副将に一人で十分 |  |  |  |  |  |  |  |  |  | 
R 22:  | 潘璋 | 武力 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ダメージ増（抵抗勝の場合追加5.5％）【装備】抵抗低下5％＋敵方歩兵比率×3％ |  |  |  |  |  |  |  |  |  | 
R 23:  | 楽進 | 統率 | 2 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R 24:  | 小計 |  |  | 10 |  |  | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R 25: 馬兵 | 玄張飛 | 統率 | 4.34 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 抵抗馬比率×40%増（上限50%） |  |  |  |  |  |  |  |  |  | 
R 26: 2 | 関平 | 統率 | 0 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 連撃馬部隊数×5%減（上限50%・共有） |  |  |  |  |  |  |  |  |  | 
R 27: 0.24 | 文醜 | 武力 | 3 | ー |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 抑制40%減（上限80%） |  |  |  |  |  |  |  |  |  | 
R 28:  | 玄公孫瓚 | 武力 | 2.5 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 抵抗20%減（上限50%・非共有） |  |  |  |  |  |  |  |  |  | 
R 29:  | 張寧姫 | 武力 | 2.5 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | 連撃20%増（上限60%） |  |  |  |  |  |  |  |  |  | 
R 30:  | 玄司馬懿 | 統率 | 2.5 | ○ |  |  | ー |  |  |  |  |  |  |  |  |  |  | ー |  |  |  | ダメ味方兵比率×20増、ダメ敵方兵比率×20減（上限25%増、10%減） |  |  |  |  |  |  |  |  |  | 
