col_A(兵種/集計) | col_B(武将) | col_C(配置) | col_D(上限) | col_V(備考)
R 65:  | 玄程昱 | 知性 | 1 | 
R 66:  | 荀攸 | 知性 | 0 | 
R 67:  | 歩練師 | 知性 | 2.5 | 
R 68:  | 小計 |  |  | 
R 69: 戦車 | 張宝 | 統率 | ー | 
R 70:  | 玄董卓 | 武力 | 2 | 
R 71:  | 黄月英 | 知性 | 3 | 
R 72:  | 玄黄月英 | 知性 | 2 | 
R 73:  | 玄陳宮 | 知性 | 2 | 
R 74:  | 玄曹植 | 知性 | 3 | 
R 75:  | 呂蒙 | 統率 | 2 | 
R 76:  | 陳登 | 知力 | 1 | 
R 77:  | 玄廖化 | 武力 | 2 | 
R 78:  | 朱然 | 武力 | 2 | 
R 79:  | 馬鈞 | 統率 | 1.67 | 
R 80:  | 小計 |  |  | 
R 81: 共通 | 諸葛亮 | 知性 | 3 | 
R 82:  | 玄諸葛亮 | 知性 | 1 | 
R 83:  | 張遼 | 統率 | 3 | 
R 84:  | 玄張角 | 統率 | 3 | 
R 85:  | 玄曹操 | 統率 | 3 | 
R 86:  | 司馬炎 | 統率 | 2.78 | 
R 87:  | 曹真 | 統率 | 2.5 | 
R 88:  | 玄徐晃 | 統率 | 2.5 | 
R 89:  | 皇甫嵩 | 統率 | 2.08 | 
R 90:  | 玄趙雲 | 武力 | 3.29 | 
R 91:  | 司馬師 | 知性 | 3 | 
R 92:  | 玄周瑜 | 統率 | 1 | 
R 93:  | 王允 | 知性 | 2.27 | 
R 94:  | 呂布 | 武力 | 1 | 
R 95:  | 玄関羽 | 武力 | 1 | 
R 96:  | 于吉 | 知性 | 2 | 
R 97:  | 玄荀彧 | 知性 | 1.25 | 
R 98:  | 玄呂蒙 | 武力/知性 | 1.25 | 
R 99:  | 司馬懿 | 統率 | 4.17 | 
R100:  | 管路 | 知性 | 4.17 | 
R101:  | 玄甘寧 | 武力 | 3.29 | 
R102:  | 玄太史慈 | 武力 | 1 | 
R103:  | 玄張郃 | 統率 | 1.5 | 
R104:  | 玄曹彰 | 武力 | 2.5 | 
R105:  | 玄黄蓋 | 武力 |  | 
R106:  | 馬岱 | 武力 | ー | 
R107:  | 華佗 | 知性 | 1 | 
R108:  | 左慈 | 知性 | 1 | 
R109:  | 玄魏延 | 統率 | 1 | 
R110:  | 典韋 | 武力 | 1 | 
R111:  | 小計 |  |  | 
R112: 合計 |  |  |  | 
R114:  |  | 統率 |  | 
R115:  |  | 武力 |  | 
R116:  |  | 知性 |  | 
